Node,Label,Type,In-degree count,Out-degree count,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
library_dublin_museum,National Museum of Ireland,library,1,0,2.0,0.0,2.0,0.00819672131147541,0.0,0.5188534221607223,0.025359029297293157,0.0058505566459831244
library_laon,Bibliothèque municipale,library,8,0,25.0,0.0,25.0,0.06557377049180328,0.0,0.5617021391803096,0.039748670559227116,0.020620064145581447
library_nancy,Bibliothèque municipale,library,2,0,1.3333333333333333,0.0,1.3333333333333333,0.01639344262295082,0.0,0.3602984883264058,0.009476755554114657,0.005978928196435069
library_wroclaw,University Library Rehdigeranus,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.319940431905233,0.0003124889872729703,0.006093907071605022
library_saint-omer,Bibliothèque municipale,library,2,0,1.0,0.0,1.0,0.01639344262295082,0.0,0.29782695344104476,0.006340968080687058,0.006755160681414057
library_fulda,Landesbibliothek,library,2,0,1.0,0.0,1.0,0.01639344262295082,0.0,0.29437403721411604,0.006694059635992977,0.006351143933506333
library_dusseldorf,Universitäts- und Landesbibliothek,library,1,0,0.3333333333333333,0.0,0.3333333333333333,0.00819672131147541,0.0,0.22692023799767302,0.004226504882882192,0.0057690607869352924
library_florence,Biblioteca Medicea Laurenziana,library,3,0,2.5,0.0,2.5,0.02459016393442623,0.0,0.32497943268208523,0.0003227042185696084,0.010467300666568695
library_turin,Biblioteca Nazionale,library,3,0,10.333333333333334,0.0,10.333333333333334,0.02459016393442623,0.0,0.5831997941694331,0.05442773900288905,0.007933790927376595
library_reims,Abbey of Saint-Remi,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.339443588870361,0.00024435166661121715,0.006250974829710807
library_zurich,Staatsarchiv,library,2,0,3.0,0.0,3.0,0.01639344262295082,0.0,0.5188534221607223,0.030032665790060527,0.006232741100207735
library_kassel,Landesbibliothek,library,2,0,2.0,0.0,2.0,0.01639344262295082,0.0,0.36563583234492536,0.0017940357651968469,0.007127073611796823
library_montecassino,Archivio dell'Abbazia,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.319940431905233,0.0003124889872729703,0.006093907071605022
library_paris_bnf,Bibliothèque nationale de France,library,13,0,22.833333333333332,0.0,22.833333333333332,0.10655737704918034,0.0,0.6655660324733317,0.07039183520692176,0.0354507017087385
library_st-gall,Stiftsbibliothek,library,1,0,16.0,0.0,16.0,0.00819672131147541,0.0,0.6357136188276288,0.07477818388427795,0.011867712882719504
library_columbia,"Columbia University, Butler Library",library,2,0,0.5333333333333333,0.0,0.5333333333333333,0.01639344262295082,0.0,0.22692023799767302,0.0043803209349030725,0.005904359145404137
library_dublin_tcd,Trinity College,library,5,0,7.0,0.0,7.0,0.04098360655737705,0.0,0.5737562623640772,0.03960913547069525,0.01702192487439474
library_naples,Biblioteca Nazionale,library,3,0,6.333333333333334,0.0,6.333333333333334,0.02459016393442623,0.0,0.5573113978824766,0.017827262104903246,0.012091943877428034
library_bologna,Biblioteca Universitaria,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.339443588870361,0.00024435166661121715,0.006250974829710807
library_palermo,Archivio di Stato,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.3880306694738148,0.003764397875749642,0.005994823003439718
library_leiden,Universiteitsbibliotheek,library,5,0,8.333333333333334,0.0,8.333333333333334,0.04098360655737705,0.0,0.5762150971780674,0.030797975944902422,0.010278192464563692
library_st-petersburg,Russian National Library,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.3560284023945232,0.0005526434562452168,0.006872417203377206
library_basel,Universitätsbibliothek,library,3,0,4.0,0.0,4.0,0.02459016393442623,0.0,0.42680340125621774,0.006229657070653875,0.010060597492972001
library_colmar,Bibliothèque municipale,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.41267264279087496,0.012679514648646579,0.005801659130554425
library_cambrai,Bibliothèque municipale,library,2,0,1.0,0.0,1.0,0.01639344262295082,0.0,0.21701887529960942,3.9456115931442956e-05,0.015717025906827352
library_orleans,Bibliothèque municipale,library,2,0,1.3333333333333333,0.0,1.3333333333333333,0.01639344262295082,0.0,0.2796732022318602,0.0005893082870455909,0.007246293797427049
library_cambridge_trinity,Trinity College,library,1,0,0.5,0.0,0.5,0.00819672131147541,0.0,0.22038450254648248,3.2841362909652124e-05,0.006211175822269779
library_durham,Cathedral Library,library,2,0,2.5,0.0,2.5,0.01639344262295082,0.0,0.3267946911168753,0.0032705916396061504,0.008599592434243547
library_augsburg,Bischöfliche Ordinariatsbibliothek,library,1,0,1.0,0.0,1.0,0.00819672131147541,0.0,0.24486737845580836,3.058303193031844e-05,0.012995332302841143
library_vienna,Österreichische Nationalbibliothek,library,5,0,12.0,0.0,12.0,0.04098360655737705,0.0,0.46332266177463194,0.017641702545584347,0.01024135398143337
library_munich,Bayerische Staatsbibliothek,library,6,0,24.9,0.0,24.9,0.04918032786885246,0.0,0.4590481562579493,0.03313921648609674,0.020148270709053947
