Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
ms_180,180,manuscript,1.0,1.0,2.0,0.005681818181818182,0.00012140637140637142,0.22282007575757576,0.0263848068638348,0.00239723271993797
ms_32,32,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_104,104,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_185,185,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0,0.20355061731812646,0.008571152015808397,0.007293521240785781
ms_21,21,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.17498958829128988,0.00015958129591162125,0.003589901369039929
ms_151,151,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_271,271,manuscript,0.0,1.0,1.0,0.002840909090909091,0.0,0.1853744390662028,0.0017939549554957474,0.00167794128685817
ms_237,237,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18840479911858155,0.0007476439944464031,0.0017774614670405678
ms_158,158,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_246,246,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0,0.1744416041943443,0.00015414824336389853,0.011107535425836729
ms_131,131,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_277,277,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.19906498727597596,0.0033200015036589847,0.0017726553342964965
ms_278,278,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18599338544038044,0.0011418900130001762,0.0038320248603215565
ms_102,102,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18947285353535354,0.00642172268955453,0.00311652415301777
ms_229,229,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.17371627527877528,0.00040920894026713644,0.002753223414289151
ms_35,35,manuscript,1.0,1.0,2.0,0.005681818181818182,0.00012140637140637142,0.2054272364083366,0.0009892300167243827,0.002755265367300034
ms_164,164,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0,0.2009802246761056,0.00373694731819092,0.0017726553342964965
ms_287,287,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.10590307783154741,4.843623679833133e-07,0.0018019809317231877
ms_141,141,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_157,157,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_139,139,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_135,135,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_5,5,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.1537397026846199,9.098757944332519e-05,0.0018517614703827067
ms_274,274,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0,0.20355061731812646,0.008571152015808397,0.007293521240785781
ms_45,45,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1787326810889645,0.0006955942763751479,0.0018855705288862222
ms_57,57,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.2031794003868472,0.019709201452776395,0.007803995784647515
ms_97,97,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_117,117,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_112,112,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18840479911858155,0.0007476439944464031,0.0017774614670405678
ms_146,146,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_55,55,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_93,93,manuscript,1.0,1.0,2.0,0.005681818181818182,4.046879046879047e-06,0.24485722610722613,0.06676689555092788,0.001692205846017647
ms_300,300,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_171,171,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.20355061731812646,0.008571152015808397,0.007293521240785781
ms_26,26,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_49,49,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1782560606060606,0.00022092191658858466,0.001974174588567747
ms_75,75,manuscript,0.0,1.0,1.0,0.002840909090909091,0.0,0.2031794003868472,0.019709201452776395,0.00167794128685817
ms_209,209,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_221,221,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_251,251,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0,0.21383884429709768,0.0019060759389517943,0.0017096403072125632
ms_103,103,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
